location_key,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
AK,733391.0,424916.0,391925.0,115198.0,111045.0,128022.0,113254.0,102310.0,116061.0,82608.0,35021.0,13322.0
AL,5024279.0,2512466.0,2681479.0,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0
AR,3011524.0,1585221.0,1654473.0,411655.0,409232.0,438604.0,423461.0,368838.0,394967.0,403526.0,264192.0,125218.0
AS,49710.0,,,,,,,,,,,
AZ,7151502.0,4026510.0,4085461.0,1080975.0,1054611.0,1112760.0,1095491.0,905754.0,930631.0,988546.0,646511.0,296692.0
CA,39538223.0,20468055.0,20856543.0,5297960.0,5594857.0,6134141.0,5908592.0,5079947.0,4954811.0,4286163.0,2632208.0,1435918.0
CO,5773714.0,2978798.0,2984005.0,782811.0,743944.0,854059.0,875080.0,741220.0,776641.0,653732.0,357233.0,178082.0
CT,3605944.0,1818390.0,1933634.0,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0
DC,689545.0,297434.0,335235.0,58373.0,62674.0,138612.0,106072.0,69265.0,70525.0,65989.0,38782.0,22377.0
DE,989948.0,499890.0,535860.0,120699.0,127709.0,137209.0,128535.0,126191.0,132876.0,135670.0,86094.0,40766.0
FL,21538187.0,10895349.0,11483510.0,2371551.0,2552497.0,2815527.0,2770363.0,2671958.0,2785900.0,3052085.0,2211881.0,1147096.0
GA,10711908.0,5704118.0,6019096.0,1589223.0,1582966.0,1624897.0,1721488.0,1511074.0,1410843.0,1266276.0,707359.0,309088.0
GU,153836.0,80776.0,78881.0,25383.0,25702.0,25582.0,20667.0,18869.0,19099.0,13596.0,7394.0,3365.0
HI,1455271.0,764289.0,767404.0,179021.0,172637.0,215044.0,201768.0,178560.0,202191.0,195458.0,115228.0,71787.0
IA,3190369.0,1578224.0,1623355.0,397429.0,402753.0,437058.0,396609.0,364027.0,416686.0,373001.0,255350.0,158665.0
ID,1839106.0,961984.0,963354.0,281927.0,264099.0,266390.0,255515.0,210220.0,230619.0,218863.0,131614.0,66092.0
IL,12812508.0,6571414.0,6875083.0,1683851.0,1756136.0,1866573.0,1874053.0,1647898.0,1703221.0,1475643.0,918947.0,520175.0
IN,6785528.0,3417226.0,3558501.0,891408.0,921931.0,936258.0,923133.0,835962.0,896082.0,802409.0,498505.0,270040.0
KS,2937880.0,1507814.0,1543893.0,410464.0,397191.0,434293.0,393807.0,347409.0,386769.0,334702.0,216322.0,130751.0
KY,4505836.0,2305740.0,2399482.0,574712.0,580379.0,624308.0,634768.0,573246.0,614156.0,577473.0,356669.0,169511.0
LA,4657757.0,2298746.0,2414412.0,608165.0,610408.0,692774.0,616907.0,550141.0,604586.0,538574.0,333370.0,158234.0
MA,7029917.0,3253902.0,3503619.0,727185.0,824328.0,947420.0,876627.0,873968.0,897069.0,803555.0,493949.0,313420.0
MD,6177224.0,3048317.0,3276183.0,753671.0,796216.0,859584.0,846380.0,835344.0,842551.0,735894.0,423674.0,231187.0
ME,1362359.0,676661.0,710758.0,139222.0,159477.0,157999.0,162366.0,177215.0,207234.0,196573.0,121204.0,66129.0
MI,10077331.0,4830759.0,5052206.0,1153045.0,1300485.0,1260194.0,1224079.0,1212834.0,1355475.0,1212622.0,743996.0,420234.0
MN,5706494.0,2857869.0,2917202.0,733192.0,727957.0,792297.0,763154.0,718287.0,763888.0,641260.0,399136.0,235898.0
MO,6154913.0,3159405.0,3311378.0,790305.0,815634.0,880980.0,826424.0,765190.0,838581.0,781730.0,506642.0,265299.0
MP,47329.0,22286.0,19704.0,6179.0,8143.0,5702.0,3331.0,5887.0,7098.0,4189.0,1195.0,266.0
MS,2961279.0,1525920.0,1627395.0,414938.0,423569.0,435494.0,415980.0,363520.0,391077.0,366193.0,234624.0,107920.0
MT,1084225.0,549030.0,545833.0,126699.0,128989.0,146517.0,131090.0,120946.0,159002.0,146788.0,87963.0,46869.0
NC,10439388.0,5556412.0,5897122.0,1437087.0,1430405.0,1553003.0,1603185.0,1419884.0,1418606.0,1370673.0,826625.0,394067.0
ND,779094.0,358946.0,354186.0,84494.0,84899.0,117455.0,86782.0,76663.0,94390.0,78864.0,54276.0,35310.0
NE,1961504.0,972230.0,994287.0,265048.0,249745.0,283191.0,255428.0,221776.0,248112.0,214373.0,142915.0,85929.0
NH,1377529.0,689405.0,712302.0,147075.0,174790.0,167724.0,168624.0,192830.0,208108.0,182247.0,103314.0,56994.0
NJ,9288994.0,4453585.0,4740817.0,1083226.0,1142584.0,1145509.0,1236030.0,1219969.0,1213196.0,1072031.0,677334.0,404523.0
NM,2117522.0,1159699.0,1195606.0,308727.0,306554.0,322950.0,297577.0,265453.0,303417.0,289822.0,177872.0,82933.0
NV,3104614.0,1852839.0,1827437.0,473403.0,458570.0,511691.0,540832.0,452032.0,440503.0,444638.0,258533.0,100075.0
NY,20201249.0,9534666.0,10268879.0,2218487.0,2421069.0,2845428.0,2671618.0,2474249.0,2537391.0,2308932.0,1469824.0,856548.0
OH,11799448.0,5744422.0,6066472.0,1413162.0,1506685.0,1510864.0,1495769.0,1426939.0,1597051.0,1430585.0,918459.0,511381.0
OK,3959353.0,2022255.0,2079155.0,534360.0,520301.0,585830.0,535451.0,458844.0,510079.0,487376.0,317317.0,151850.0
OR,4237256.0,2124048.0,2181304.0,498276.0,512003.0,580168.0,592115.0,493012.0,576054.0,554183.0,318598.0,180943.0
PA,13002700.0,6403661.0,6794266.0,1439094.0,1616511.0,1705746.0,1594658.0,1610123.0,1802742.0,1647615.0,1100333.0,681105.0
PR,3285874.0,1750923.0,1912653.0,393572.0,481121.0,533336.0,516414.0,494489.0,453562.0,376235.0,261086.0,153761.0
RI,1097379.0,,,,,,,,,,,
SC,5118425.0,2613483.0,2777111.0,650352.0,667132.0,738783.0,702440.0,636771.0,683035.0,707685.0,419540.0,184856.0
SD,886667.0,447871.0,450867.0,120814.0,112972.0,126540.0,111610.0,99512.0,116125.0,100550.0,68334.0,42281.0
TN,6910840.0,3468728.0,3672397.0,865908.0,886991.0,948127.0,964722.0,868923.0,916846.0,893144.0,544886.0,251577.0
TX,29145505.0,15255472.0,15630971.0,4495213.0,4313685.0,4534650.0,4545439.0,3715802.0,3577559.0,3058534.0,1803151.0,842409.0
UT,3271616.0,1730966.0,1723194.0,611965.0,525511.0,578627.0,514840.0,333571.0,333179.0,288455.0,179626.0,88386.0
VA,8631393.0,4515968.0,4715559.0,1127874.0,1142685.0,1297534.0,1288398.0,1199821.0,1188888.0,1066448.0,616379.0,303500.0
VI,87146.0,50047.0,54975.0,13356.0,13979.0,12715.0,9801.0,11864.0,14601.0,14096.0,10799.0,3810.0
VT,643077.0,315725.0,327033.0,63835.0,78808.0,81380.0,74725.0,80915.0,96928.0,88319.0,49872.0,27977.0
WA,7705281.0,3822449.0,3872795.0,936415.0,951634.0,1080493.0,1068547.0,938806.0,1016339.0,914363.0,509288.0,279359.0
WI,5893718.0,2991325.0,3056652.0,724736.0,759105.0,808554.0,765686.0,748954.0,818035.0,704885.0,450759.0,267263.0
WV,1793716.0,947410.0,978947.0,202753.0,217366.0,234197.0,243824.0,224404.0,271172.0,272377.0,174501.0,85765.0
WY,576851.0,330729.0,317830.0,83898.0,78523.0,94403.0,84233.0,71877.0,91709.0,77560.0,44614.0,21742.0
