location_key,date,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
US_AK,2020-03-12,0.0,0.0,,79.0,1.0,0.0,,206.0
US_AK,2020-03-13,0.0,0.0,,161.0,1.0,0.0,,367.0
US_AK,2020-03-14,0.0,0.0,,81.0,1.0,0.0,,448.0
US_AK,2020-03-15,0.0,0.0,,78.0,1.0,0.0,,526.0
US_AK,2020-03-16,3.0,1.0,,257.0,3.0,1.0,,783.0
US_AK,2020-03-17,5.0,0.0,,430.0,8.0,1.0,,1213.0
US_AK,2020-03-18,3.0,0.0,,609.0,11.0,1.0,,1822.0
US_AK,2020-03-19,3.0,0.0,,621.0,14.0,1.0,,2443.0
US_AK,2020-03-20,1.0,0.0,,632.0,15.0,1.0,,3075.0
US_AK,2020-03-21,10.0,0.0,,210.0,25.0,1.0,,3285.0
US_AK,2020-03-22,13.0,0.0,,174.0,38.0,1.0,,3459.0
US_AK,2020-03-23,4.0,0.0,,568.0,42.0,1.0,,4027.0
US_AK,2020-03-24,7.0,0.0,,452.0,49.0,1.0,,4479.0
US_AK,2020-03-25,14.0,2.0,,566.0,63.0,3.0,,5045.0
US_AK,2020-03-26,11.0,0.0,,505.0,74.0,3.0,,5550.0
US_AK,2020-03-27,17.0,1.0,,450.0,91.0,4.0,,6000.0
US_AK,2020-03-28,19.0,1.0,,413.0,110.0,5.0,,6413.0
US_AK,2020-03-29,8.0,1.0,,306.0,118.0,6.0,,6719.0
US_AK,2020-03-30,10.0,0.0,,533.0,128.0,6.0,,7252.0
US_AK,2020-03-31,13.0,0.0,,611.0,141.0,6.0,,7863.0
US_AK,2020-04-01,8.0,0.0,,590.0,149.0,6.0,,8453.0
US_AK,2020-04-02,11.0,0.0,,591.0,160.0,6.0,,9044.0
US_AK,2020-04-03,11.0,0.0,,476.0,171.0,6.0,,9520.0
US_AK,2020-04-04,14.0,1.0,,196.0,185.0,7.0,,9716.0
US_AK,2020-04-05,6.0,0.0,,324.0,191.0,7.0,,10040.0
US_AK,2020-04-06,22.0,0.0,,493.0,213.0,7.0,,10533.0
US_AK,2020-04-07,13.0,1.0,,528.0,226.0,8.0,29.0,11061.0
